Id;Nama Makanan;Harga;Deskripsi;Gambar
56;Kangkung Cah Seafood;21.600;Kangkung+Udang+Cumi;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620201820638/detail/menueditor_item_06cacd7272bf4b8a87afbbabae4c85e1_1692282820916446097.webp
57;Kangkung Cah Ayam;20.100;Kangkung+Ayam;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620193153447/detail/menueditor_item_3413325fcf46465cac740758dff37b3f_1692280993371124303.webp
58;Kangkung Cah Polos;18.000;Kangkung tanpa Daging Dan Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620185522479/detail/menueditor_item_62cf514815e34daf96ddd29062f0dc42_1692280971618180437.webp
59;Telur goreng Udang;13.200;Daging Sapi Cincang Goreng Tepung, Potong2+Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715262307599/detail/menueditor_item_3947f61a78014e979bb4821450b3ff99_1692285949797492785.webp
60;Telur Rica;13.200;Kwetiau Goreng=Sayuran+Sosis+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715250311136/detail/menueditor_item_896e4fee9a64431ba499d5de0c9b8fef_1692285856740820707.webp
61;Telur Dadar;7.200;Ayam Cincang Goreng Tipis Potong+Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715235808142/detail/menueditor_item_e3f6598140f74b89a37f67d004fcc01d_1692285794823867003.webp
62;Telur Ceplok/Mata Sapi;9.000;Sayuran+Ayam Cincang Goreng Tepung+Saus Asam Manis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715224944870/detail/menueditor_item_9bb594d352a9499f8ca2147b6c52d29f_1692285720298347115.webp
63;Bistik Sapi;30.000;Potongan Ayam Pilet Goreng Tepung Saus Asam Manis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715211524020/detail/menueditor_item_cca37c57977647399af6181974299aaa_1692285601825125301.webp
64;Kwetiau Goreng Sosis;20.100;Potongan Ayam Pilet Goreng Tepung Saus Tiram;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619560404503/detail/menueditor_item_10825b1db2824a91a50a1f1b2903649a_1692276025342199649.webp
65;Bistik Ayam;30.000;Potongan Ayam Pilet Goreng Tepung Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715194318666/detail/menueditor_item_9ab371ba4baf4586b4842adfefb16784_1692285532918647299.webp
66;Fuyunghai Ayam;30.000;Udang Goreng Tepung Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715170095782/detail/menueditor_item_7af01cabe367473db270171824e73e32_1692285414554301110.webp
67;Ayam Kuluyuk;29.100;Udang Goreng Tepung Saus Kecap;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620272977724/detail/menueditor_item_270de70fc155408292f8aaf0f5b8b3a3_1692283301450771216.webp
68;Ayam Tepung Saus Tiram;29.100;Udang Goremg Tepung Saus Tiram;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620261707758/detail/menueditor_item_8eafe8c938114728bccc885738c4d6bb_1692283280060474301.webp
69;Ayam Goreng Tepung;29.100;Udang Goreng Tepung Saus Rica/Padang;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620250643115/detail/menueditor_item_07057215e3304dde813982397aa1c06a_1692283104843472257.webp
70;Udang Tepung Mentega;29.100;Udang Goreng Tepung Saus Asam Manis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620295333218/detail/menueditor_item_3b0dd3725b7846e9bbdd75aab1d8e758_1692283406769979786.webp
71;Udang Tepung Kecap;29.100;Cumi Goreng Tepung Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620302685480/detail/menueditor_item_49979827e0124c16ba9f8a91d1f212cb_1692283425687882974.webp
72;Udang Tepung Saus Tiram;29.100;Cumi Goreng Tepung Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620324503184/detail/menueditor_item_20990c4ccaa54634821d57b010ef2b53_1692283441121597288.webp
73;Udang Tepung Rica;29.100;Request Bila Minta Panas;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620312052127/detail/menueditor_item_ac7dcb72a9e84f54be2f8394e5258e16_1692283456411494113.webp
74;Udang Kuluyuk;29.100;Cumi Goreng Tepung Saus Rica/Padang;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620320177902/detail/menueditor_item_f1097e2ec4f84d5082bd56927fb65c8b_1692283475752648590.webp
